maxaaxisha	sweet potato	noun		<i>Ipomoea batatas</i>	an jaallachuu maxaaxisha	I like sweet potato
maxxansaa	printer	noun			kitaaba maxxanxsaa	book printer
mayilii	mile	noun			mayilii kudhan	ten miles
meejoo	sugarcane	noun			kara nyachuu meejoo	to chew sugarcane
meetii	silver	science			meetiin (Ag) protoonii 47 qaba	silver (Ag) has 47 protons
meetii	silver	noun			meetii fi warqee	silver and gold
meetii	silver	science			meetiin (Ag) protonii 47 qaba	silver (Ag) has 47 protons
metiraa	metre	noun		length metric; meter (American English)	metiraa kudhan	ten metres
mi'a baatu	porter	noun			mi'a baatu saanduqa baate	the porter carries a box
mi'aa	expensive	adjective			mi'aa dha	it is expensive
mi'aawaa	sweet	adjective			shaahiin mi'aawaa dha	the tea is sweet
midijaa	stove	noun			midijaa beenzila	gas stove
miiccuu	wash	verb			wayyoota miiccuu	wash clothes
miijuu	luxury	noun			ani fuuldurakee miijuu ilaalaa	I see luxury in your future
miila	leg	noun			miila dhiita'e	swollen leg
mijjaawaa	comfort	noun			mijjaawaa naaf kennii	give me comfort
milkoomuu	achieve	verb			kara milkoomuu waan tokko	to achieve something
milla	foot	noun			ko milla	my foot
mirga	rights	noun			mirga dhala nama	rights of humankind
misirroo	bride	noun			dhirsa misirroo; farda egduu	bride's husband; groom
misooma	development	noun			tolaa misooma	good development
miti	no	exclamation			ani miti jedhee	I say no
mo'aamuu	defeat	noun			injjifannoo fi mo'amuu	victory and defeat
mooqaa	soup	noun			mooqaa ocholonii	palm nut soup
mooraa	yard	noun			mooraa guddaa	big yard
mooti	king	noun			inni mooti dha	he is a king
mootummaa	government	noun			mootummaa Nkrumaah	Nkrumah's government
morka	rival	noun			isheen morkakoo dha	she is my rival
morkkumaa	rivalry	noun			morkkumaa dhiisi	stop the rivalry
morma	neck	noun			karabaattaan morma isaa iraati hidhameeraa	the tie hangs on his neck
mormuu	oppose	verb			nuhi eeyyama mormuu hammenya	we will oppose evil
moyyee	mortar	noun			ilmoo moyyee fi moyyee	pestle and mortar
mucuca	slippers	noun			mucuca godhacha jirtaa	you are wearing slippers
mudanmudhii	groin	noun			mudanmudhii dhiiraa	groin of a man
Mudde	December	noun			Mudde bult 31 qaba	December has 31 days
mudhii	waist	noun			mudhii kee	your waist
muka	tree	noun			muka dhaabaa	plant a tree
mula'ta	revelation	noun			inni mula'ta qaba	he had a revelation
murannoo	determination	noun			Murannoo dhaan ni hoojjena	we will do it with determination
murtii	judge	noun			murtii torba	seven judges
murtii	judgement	noun			murtii kami?	which judgement?
muruu	cut	verb			keekii baka lamati muruuf	to cut the cake in two
muuzii	banana	noun			qalameen muuzii jaalataa	a monkey likes bananas
muxxee	vagina	noun			ummata keessa 'muxxee' akka hin jenne	you don't say 'vagina' in public
naacha	alligator	noun			naacha eegee qaba	an alligator has a tail
naacha	crocodile	noun			naach bishaan jaalataa	a crocodile likes water
naayitrojinii	nitrogen	science			naayitrojiniin (N) protoonii 7 qaba	nitrogen (N) has 7 protons
Naayjeeryaa	Nigeria	noun		A country in Africa	gara Naayjeeryaa deemaa	go to Nigeria
nabiyyii	prophet	noun			nabiyyii humnaqabeessa	powerful prophet
nagaa	peace	noun			ani nagaa barbaada	I want peace
nagaa gaafachuu	greet	verb			Amaa nagaa gaafachuu	greet Ama
nagaatti	goodbye	exclamation			nagaatti jedhii	say goodbye
nama	man	noun			nama dheeraa	a tall man
nama	human	noun			nuti namota dha	we are humans
nama	person	noun			nama barbaachisaa	important person
nama barate	savant	noun			isaan nama barate	they are savants
nama daldaluu	trader	noun			ani nama daldaluu dha	I am a trader
nama isa jalqabaa	pioneer	noun			isaan nama isa jalqabaa	they are pioneers
nama qurxummii baasu	fisherman	noun			Inni nama qurxummii baasu dha	he is a fisherman
nama tokkoo	someone	pronoun			nama tokko dhufaa jiraa	someone is coming
narsii	nurse	noun			isheen narsii dha	she is a nurse
niiwtroon	neutron	science			niiwtrooni chaarjjii 0 qaba	a neutron has a charge of 0
niti	missus	noun			niti Clinton	Missus Clinton
niwooni	neon	science			niwoonin (Ne) protoonii 10 qaba	neon (Ne) has 10 protons
nuhi	we	pronoun		used to indicate oneself and others	nuhi nyaannee	we eat
nuti	us	pronoun			nuti argisiisii	show us
nuuklasii	nucleus	science			nuuklasii protoonii fi niiwtroonii qaba	a nucleus contains protons and neutrons
nyaachuu	eat	verb			wanta hunda nyaachuuf	to eat everything
nyaara	eyebrow	noun			ijaa fi nyaara	eye and eyebrow
nyaata	food	noun			nyaata nyaadhaa	eat food
nyaata foon	pie	noun			sadi nyaata foon	three pies
o'aa	hot	adjective			bishaan o'aa	hot water
obbo	sir	noun			ani si galateefadhaa obbo	I thank you sir
obboleessa	brother	noun			qofa obboleessa koo	my only brother
obboleettii	sister	noun			qofa obboleettii koo	my only sister
obboleeyyan	sibling	noun			Ijoollee haadhakoo obboleeyyan koo dha	my mother's child is my sibling
obsa	patience	noun			jaalala fi obsa	love and patience
ocholooni	groundnut	noun			boqqoolloo fi ocholooni	corn and groundnuts
oddoola	island	noun			oddoola Sishals	Seychelles island
oduu	news	noun			oduu biyya lafa	news of the realm
offittummaa	selfishness	noun			offittummaan gaarii miti	selfishness is not good
ofii	self	noun			ofii koo, ofii kee	myself, yourself
ofijaalachuu	selfishness	noun			ofijaalachuun gaarii mitii	selfishness is not good
ofjaja	hypocrisy	noun			ofjaja fi sobuu	hypocrisy and lies
ogummaa	wisdom	noun			cimina fi ogummaa	strength and wisdom
oh	oh	exclamation			oh obboleettii koo!	oh my sister!
oh	oh	exclamation			oh obboleetti koo	oh my sister!
okkootee	pot	noun			okkootee sibiila	metal pot
okkootee	vase	noun			okkootee suphee	clay vase
oksiijinii	oxygen	science			oksiijiniin (O) protoonii 8 qaba	oxygen (O) has 8 protons
ol	up	adverb			ol laali	look up
ol fuudhuu	raise	verb			ol fuudhuu kee harka	raise your hand
ollaa	neighbourhood	noun			nuti ollaa wal fakkaatuu keessa jiraanaa	we live in the same neighbourhood
Onkololeesa	October	noun			Onkololeesa guyyoota 31 qaba	October has 31 days
onnee	heart	noun			onnee gaarii	good heart
ooftuu	driver	noun			ooftuun qabeeraa	the driver has braked
Oromoo	Oromo	noun			afaan Oromoo	Oromo language
osolee	squirrel	noun			osolee jaallachuu meexxii	a squirrel likes palm nuts
otobisii	bus	noun			otobisii dhaabadhu	bus stop
paappaayyaa	pawpaw	noun			paappaayyaa fi muuzii	pawpaw and banana
parlaamenti	parliament	noun			paarlaamenti akka deemtuu ishee filii	elect her to go to parliament
phaaphaas	bishop	noun			isheen phaaphaasi dha	she is a bishop
plaanteeni	plantain	noun			plaanteeni fi godarree	plantain and cassava
potaasiiyamii	potassium	science			potaasiiyamiin (K) protonii 19 qaba	potassium (K) has 19 protons
potaasiiyamii	potassium	science			potaasiiyamiin (K) protoonii 19 qaba	potassium (K) has 19 protons
prezidaanti	president	noun			preezidaantiin gaheeraa	the president has arrived
protoon	proton	science			protooni chaarjjii +1 qaba	a proton has a charge of +1
qaama	body	noun			namnii qaama, lubbuu fi afuuraa	a person is body, soul and spirit
qaanii	shame	noun			qaanii fi salphisa	shame and disgrace
qaba	brake	noun			konkolaataa qaba	brake of a car
qabaa	barrel	noun			qabaa guutii	fill up the barrel
qabdii	have	verb			isheen maalaqa qabdii	she has money
qabee	volume	noun			qabee itti dabalii	turn up the volume
qabee	volume	math		a quantity that represents the size of a container	qabee (kubaa) = dheerina x dalgeeta x hojjaa	volume(cube) = length x width x height
qabu	catch	verb			kuubbaa qabu	catch the ball
qadaada	lid	noun			qadaada kan kubbaayyaa	lid of a cup
qajeelcha	cast	noun			qajeelcha filmii	cast of a film
qalamaa	pen	noun			halluu qalamaa keessa	ink in a pen
qalbii diddiirrannaa	repentance	noun			jaalala fi qalbii diddiirrannaa	love and repentance
qalloo	thin	adjective			qalloo ulee	thin stick
qaraxa	levy	noun			qaraxa kafalii	pay a levy
qarmammee	station	noun			baabura geejjibaa qarmammee	train station
qarqara	ledge	noun			qaeqara iraa rafii	sleep on the ledge
qarqara galaana	beach	noun			qarqara galaana cirrachaa	beach sand
qeerransa	tiger	noun			guddaa qeerransa	a large tiger
qeesii	priest	noun			qeesiin gorsaa qaba	a priest has advice
qerransa	leopard	noun			qerransi eegee qaba	a leopard has a tail
qilleensa	wind	noun			qilleensa afuufaa jiraa	the wind is blowing
qixaa'aa	ready	adverb			an qixaa'aa	I am ready
qocaa	tortoise	noun			qocaan suuta deemaa	a tortoise walks slowly
qola	shell	noun			qola kraabii	shell of a crab
qooda	share	noun			qooda koo eessaa jiraa?	where is my share?
qoonqoo	throat	noun			qoonqoo kee qulqulleessii	clear your throat
qoosaa	joke	noun			himuu ani qoosaa	tell me a joke
qootii	coop	noun			qootii haandaanqoo	hen coop
qootuu	farmer	noun			isheen qotuu dha	she is a farmer
qophii	event	noun			qophiin jalqabee	the event has started
qophii	preparation	noun			qophii godhii	make preparation
qoraan	firewood	noun			qoraan kaasuu	pickup firewood
qorannoo	test	noun			qorannoon ulfaataa dha	the test is difficult
qorannoo	exam	noun			qorannoon salphaa dha	the exam is easy
qoricha	medicine	noun			qoricha hadhaa	bitter medicine
qorraa	cool	verb			hayyamuu inni qorraa	let it cool
qorraa	cold	adjective			bishaan qorraa	cold water
qotiyyoo	ox	noun			an ilaaluu qotiyyoo	I see an ox
quba	finger	noun			quba kee nati argisiisi	show me your finger
quba miillaa	toe	noun			quba miillaa fi koomee	toe and heel
qubeessaa	pencil	noun			qubeessaa fi qalama	pencil and pen
qulfa	dung	noun			saa'aa qulfa	cow dung
qulfii	lock	noun			shan qulfii	five locks
qurcii	leper	noun			kudhan qurcii	ten lepers
qurxummii	fish	noun			qurxummii waadame	fried fish
qurxummii	herring	noun			ishee iti qurxummii	a herring is a fish
quunamuu	meet	verb			manattii naquunamii	meet me at home
quxu	bud	noun			abaaboo quxu	flower bud
raadiyoo	radio	noun			raadiyoonaa banii	switch on the radio
raagaa	witch	noun			isheen raagaa dha	she is a witch
raagaa	wizard	noun			inni raagaa dha	he is a wizard
raaguu	witchcraft	noun			raaguu shaakaluu	practise witchcraft
raammoo	worm	noun			raammoo, eessaa deemaa jirtaa?	worm, where are you going?
rabbi	god	noun			irkataa rabbi	dependable god
rafuu	sleep	verb			galgala rafuuf	to sleep at night
ragaa	testament	noun			ragaa haaraa	new testament
rakasa	cheap	adjective			rakasa ta'i	be cheap
rakkisa	bother	noun			baayyee rakkisa	too much bother
rarraha	swing	noun			rarraha irratti tabadhuu	play on a swing
ree'ee	goat	noun			ree'ee fi hoolaa	a goat and a sheep
reefa	corpse	noun			reefa tortoraa jiraa	the corpse is rotting
rifeensa	hair	noun			rifeensa laphee	chest hair
rifeensa dhaabee	goosebumps	noun			rifeensaa koo dhaabee	I have got goosebumps
risaa	eagle	noun			lama risaa	two eagles
rogasaddeet	octagon	noun			rogasaddeet kofa saddeet qaba	an octagon has eight angles
roggota	corners	noun			roggota hunda addunyaa	all corners of the world
rogkudhan	decagon	noun			rogkudhan kofa sadi qaba	a decagon has ten angles
rogsadi	triangle	noun			rogsadi kofa sadi qaba	a triangle has three angles
rogsagal	nonagon	noun			rogsagal kofa sagal qaba	a nonagon has nine angles
roobii	hippopotamus	noun		also called a hippo	roobiin garaacha guuddaa qaba	a hippopotamus has a big stomach
Roobii	Wednesday	noun			ijoollee Roobii	Wednesday children
ruumicha	vulture	noun			ruumichaan shimbiirroo dha	a vulture is a bird
ruuzii	rice	noun			ruuzii fi baaqilaa	rice and beans
sa'aa	hour	noun			sa'aa kudhan	ten hours
sa'aa	cow	noun			foon sa'aa; foon hoorii	cow meat; beef
sa'atii	clock	noun		a free-standing device which tells the time	himuu ani icha sa'atii	tell me the time on the clock 
sa'atii	watch	noun		a wearable device for telling the time	xinnaa sa'atii	a small watch
saa'aa	cow	noun			foon saa'aa; foon horii	cow meat; beef
saahina	plate	noun			saahina kee dhiqi	wash your plate
saamunaa	soap	noun			baaldii fi saamunaa	pail and soap
saamunaa ilkaanii	toothpaste	noun			brushii fi saamunaa ilkaanii	toothbrush and toothpaste
saanduqa	box	noun			saanduqa A saanduqa B iraa caalaa	box A is bigger than box B
saanqaa	plank	noun			saanqaa fi bismaara	plank and nail
saayinsii	science	noun		the systematic study of the world using observation and experiment	nuti saayinsii barachaa jirraa	we are learning science
saba	nation	noun			saba kee	your nation
sababa	reason	noun			waan hunda sababa qaba	everything has a reason
sababiin issa	because	conjunction			sababiin issa an jaallachuu ati	because I like you
sabbata waaqaa	rainbow	noun			an ilaaluu sabbata waaqaa	I see a rainbow
Sadaasa	November	noun			Sadaasa guuyyota 30 qaba	November has 30 days
saddeet	eight	adjective		The number 8	xarmuushii saddeet	Eight bottles
saddeettama	eighty	adjective		the number 80	xarmuushii saddeettama	80 bottles
sadi	three	adjective		The number 3	xarmuushii sadi	three bottles
safaruu	measure	verb			mooqaa gutuu lama safarii	measure two spoonfuls
sagaagala	pedophile	noun			inni sagaagala dha	he is a pedophile
sagal	nine	adjective		The number 9	xarmuushii sagal	Nine bottles
sagalee	voice	noun			sagalee kee laaffisii	soften your voice
sagalee	volume	noun			sagalee dabali	turn up the volume
sagalee	sound	noun			sagalee guddaa	loud sound
sagalee guddaa	loud	adjective			sagalee guddaa akkaa xurumbaa	loud siren
sagaltama	ninety	adjective		the number 90	xarmuushii sagaltama	ninety bottles
sakanddii	second	noun			sakanddii kudhan	ten seconds
salfarii	sulfur	science			salfariin (S) protonii 16 qaba	sulfur (S) has 16 protons
salphaa	easy	adjective			qormaatni salphaa dha	the exam is easy
salphisa	disgrace	noun			qaanii fi salphisa	shame and disgrace
samii	sky	noun			gara samii barrisuuf	to fly into the sky
sammuu	mind	noun			sammuu isheen	her mind
Sanbata	Saturday	noun		day of the week	ijoollee Sanbata	Saturday children
sanyoo	concubine	noun			Yaan sanyoo kootii	Yaa is my concubine
saphaphu	web	noun			saphaphu sariitii	the web of a spider
saphaphu fuula	website	noun			saphaphu fuula naaf hojjadhuu	make a website for me
saqanaa	cheese	noun			cuquliisa saqanaa	blue cheese
sarara	line	noun			kubbaan sarara qaxxaamurte	the ball has crossed the line
saree	dog	noun			sareen ni duta	a dog barks
sariitii	spider	noun			man'ee sariitii	spider's web
sariitii guddaa	tarantula	noun			sariitii guddaa	a large tarantula
sattawaa	giraffe	noun			sattawaan bineensa	a giraffe is an animal
seenaa	story	noun			seenaa nati himii	tell me a story
seenaa	history	noun			seenaa baradhuu	learn history
seeqa	smile	verb			kara seeqa bicuu	to smile a bit
seera	law	noun		rules by the government	seerii jedhaa	the law says
seeraa	rule	noun			isheen seeraa hordoftii	she follows the rules
sertafikeeti	certificate	noun			mana barumsa yammu fixxuu sartafikeeti argataa	when you complete school you get a certificate
shaahii	tea	noun			shaahiin mi'aa dha	the tea is sweet
shaanaa	cabbage	noun		a leafy vegetable	shaanaa waxii	cabbage stew
shakkii	doubt	noun			isheen shakkii qabdii	she has doubts
shamizii	shirt	noun			ishee keewwachuu shamizii	she is wearing a shirt
shan	five	adjective		The number 5	xarmuushii shan	Five bottles
shantama	fifty	adjective		the number 50	xarmuushii shantama	fifty bottles
sheena'uu	remorse	noun			inni agarsiisuu miti sheena'uu	he showed no remorse
shiboo	coin	noun			shiboo afur	four coins
shiggiree	razor	noun			shiggiree qarii	sharpen the razor
shimbiirroo	bird	noun			shimbiroon ni titisaa	a bird flies
shirrishirri	stroll	noun			shirrishirrii fudhuu	take a stroll
Shonaa	Shona	noun			ani Shonaa dubbadha	I speak Shona
shukkaa	fork	noun			shukkaa fi haaduu	fork and knife
shuumii	chief	noun			isheen shuumii dha	she is a chief
sibiila	metal	noun			gonfo sibiila	hat of metal
sibiila	iron	science			sibiila (Fe) protoonii 26 qaba	iron (Fe) has 26 protons
siissuu	whistle	noun			siissuu tabadhuu	play the whistle
silipeeraa	slippers	noun			ati siliperaa godhachaa jirtaa	you are wearing slippers
silkanii	silicon	science			silkaniin (Si) protoonii 14 qaba	silicon (Si) has 14 protons
silkanii	silicon	science			siilkaniin (Si) protonii 14 qaba	silicon (Si) has 14 protons
simbaal	cymbal	noun			siimbaallootaa taphadhuu	play the cymbals
simiinttoo	cement	noun			dhagaa fi simiinttoo	stones and cement
sinimaa	cinema	noun			ani gara sinimaa nideema	I am going to a cinema
sirba	music	noun			sirba taphadhuu	play music
sirbiisa	musician	noun			sirbistotaa	the musicians
sirbu	dance	verb			gammachuudhaan sirbuu	to dance with joy
siree	bed	noun			siree iraa rafii	sleep on the bed
siriinjii	syringe	noun			siriinjii narsii	a nurse's syringe
sirrii kanhintaane	discord	noun			soba fi sirrii kanhintaane	lies and discord
siyaasaa	politics	noun			ati siyaasaa jaalattaa	you like politics
soba	lie	noun			inni soba dha	it is a lie
sobduu	liar	noun			isheen sobduu dha	she is a liar
sochii lafaa	earthquake	noun			inni sochii lafaa dha	it is an earthquake
sodaa	fear	noun			onnee ishee sodaan guuteeraa	fear has filled her heart
soddaa	inlaw	noun			soddaa keenya	our inlaws
soddomaa	thirty	adjective		the number 30	xarmuushii soddomaa	thirty bottles
sodiiyamii	sodium	science			sodiiyamiin (Na) protonii 11 qaba	sodium (Na) has 11 protons
sodiiyamii	sodium	science			sodiiyamiin (Na) protoonii 11 qaba	sodium (Na) has 11 protons
soofaa	sofa	noun			shan soofaa	five sofas
soorata dhangala'aa	pap	noun			nyaachuu soorata dhangala'aa	eat the pap
sooressa	rich	adjective			sooressa biyya	a rich country
sossodaachiisuu	bully	verb			isaan sossodaachiisuu	they are bullying him
suphee	clay	noun			suphee qabaa	clay vase
suuraa	picture	noun			suuraa bareedduu	beautiful picture
suuta	slowly	adverb			suuta deemii	walk slowly
Swaahili	Swahili	noun			afaan Swahili	Swahili language
ta'uu	be	verb		used to indicate state of being. Has different forms depending on the subject person: I am, you are, she/he/it is, we are, they are	nama barbaachisaa ta'uu	You are an important person
taa'uu	sit	verb			asi taa'uuf	to sit here
taaksii	taxi	noun			taaksii naaf yaamii	call me a taxi
tajaajila	service	noun			tajaajila galataa kennaa	thanksgiving service
tamboo	cigarette	noun			tamboo xuuxii	smoke a cigarette
tamboo	tobacco	noun			tamboo xuuxii	smoke tobacco
tapha	game	noun			tapha taphachuu	play a game
tapha	play	noun			tapha ilaali	watch a play
teessuma	address	noun			kessan teessuma	your address
telefoona	telephone	noun			telefoona mana	house telephone
televizyini	television	noun			televizyini banni	switch on the television
tibba caama	dry season	noun			tibba caama gahee	the dry season has arrived
tikeeta	ticket	noun			tikeeta koo ilaalii	look at my ticket
timaatimii	tomato	noun			timaatimii lama	two tomatoes
tiruu	liver	noun			sareen tiruu qaba	a dog has a liver
tisiisaa	housefly	noun			tisiisaan dhukkubaa ba'achuu dandessii	a housefly can carry disease
tisiisaa	blowfly	noun			tisiisooni ni rakkisttootaa dha	blowflies are annoying
tisiisaa	fly	noun			tisiisaan ni barrisaa	a fly flies
titisa	fly	verb			gara waaqa iraatti titisuuf	to fly into the sky
Togoo	Togo	noun		A country in Africa	gara Togoo deemaa	go to Togo
tokko	one	adjective			mana gubbaa irratti kan dhaabbatee xarmuushii tokko ni jiraa	There is one bottle standing on top of the house
tokkummaa	unity	noun			tokkummaa fi nagaa	unity and peace
tolaa	good	adjective			kannaa tolaa	a good gift
tolchuu	make	verb			nyaata tolchii	make food
tolchuu	bake	verb			tolchuu daabboofi	bake bread
torba	seven	adjective		The number 7	xarmuushii torba	seven bottles
torbaatama	seventy	adjective		the number 70	xarmuushii torbaatama	seventy bottles
torban	week	noun			torban kana	this week
tortoruu	rot	verb			itti maangoo tortoruu	the mango is rotting
tubboo	pipe	noun			bishaan tubboo	pipe water
tuchee	ant	noun			tuchee kuma	thousands of ants
tuffee	penis	noun			ummata keessa 'tuffee' akka hin jenne	you don't say 'penis' in public
tuffii	contempt	noun			dhaabadhu itti tuffii	stop the contempt
tulluu	hill	noun			tulluu gubbaa	hill top
tulluu	mountain	noun			xarafa guubbaa tulluu	mountain peak
tuqaa	point	noun			1 tuqaa 5(1.5) tokko fi shan	1 point 5 (1.5) is one and a half.
tuquu	touch	verb			dabbassa ishee tuquuf	to touch her hair
turuu	wait	verb			xiiqqoo turuuf	to wait a bit
tuullaa	heap	noun			tuulla kan kitaaba	a heap of books
uffarmaa	headscarf	noun			uffarmaa hidhi	tie a headscarf
uffata	clothes	noun			uffata bitaa	buy clothes
uffata	fabric	noun			uffata naaf bitii	buy fabric for me
uffata	dress	noun			uffata cuqulisa	blue dress
uffata halkanii	blanket	noun			uffata halkanii jidha	wet blanket
ulee	stick	noun			ulee cabsii	break the stick
ulee hartuu	broomstick	noun			ulee hartuu kudhan	ten broomsticks
ulfaataa	difficult	adjective			qormaata ulfaataa dha	the exam is difficult
ulfaataa	difficult	adjective			qorannoon ulfaataa dha	the exam is difficult
ulfaataa	heavy	adjective			ulfaataa dha	it is heavy
ulfina	mass	science			ulfina gara annisa jijjiiruu dandessa	you can change mass into energy
ulfina	weight	noun			ulfaataa ulfina	a heavy weight
ulfina guddaa	glory	noun			ulfina guddaa ilma nama	glory of humankind
ulfina salphaa	lightweight	adjective			ulfini kitaabaa salphaa dha	the book is lightweight
ulullee	flute	noun			ulullee taphachuu	play the flute
ummata hedduu	crowd	noun			cokuu ummata hedduu	noisy crowd
umurii	age	noun			kessan umurii	your age
uraa	hole	noun			uraa xinnaa	small hole
urgaa	smell	noun			urgaa nati dhagahameraa	I sense a smell
urjii	star	noun			urjiiwwan heddu	plenty of stars
urunguu	owl	noun			urunguun shimbiirroo dha	an owl is a bird
utaaluu	jump	verb			gidaara utaaluuf	to jump a wall
uttuu	chin	noun			uttuu kee qabi	hold your chin
uumaa	creator	noun			uumaa waaqa	creator god
uummata	public	noun			uummata keessa 'muxxee' hinjettuu	you don't say 'vagina' in public
uumuu	creation	noun			uumuu hunda	all creation
vaan	van	noun			vaani boordii godhii	board a van
vaayoletii	violet	adjective			haabaaboo vaayoletii	violet flowers
viidiiyoo	video	noun			viidiiyoo ilaalii	watch the video
waadaa	promise	noun			waadaa naa kennii	give me a promise
waan tokko	something	noun			waan tokko cimaadhaan qabuuf	to hold something firmly
waan tokko	something	pronoun			waan tokko na argisiisii	show me something
waaqoota sadan	trinity	noun			qulqulluu waaqoota sadan	holy trinity
waaree booda	afternoon	noun			waaree booda ni dhufaa	I will come in the afternoon
waaw	wow	exclamation			waaw! galatoomi	wow! thank you!
wajjin	together	adverb			isaan wajjin	they went together
wal dhawa	friction	noun			waldhawa nuti biraati dhufee	friction came between us
walaba	independence	noun			guyyaa walaba	independence day
walakkaa	half	noun		one out of two equal divisions	tooko fi walakkaa	one and half
waldaa	association	noun			kottuu gara walgayii waldaa dhiira	come to the men's association meeting
waldiduu	squabbles	noun			waldiduu fi arrabsootaa	squabbles and insults
walgahii	meeting	noun		a gathering of a group to talk about something	walgahii dhiisii	cancel the meeting
waliin hirachuu	share	verb			nyaata waliin hiradhuu	share the food
walitti qabsiisuu	join	verb			jecha walitti qabsiisuu kara tolchuu himaa	words join together to make sentences 
walitti qabsiisuu	paste	verb			kara walitti qabsiisuu inni tokko iti gidaara	to paste it on the wall
wandaqa	maid	noun			isheen wandaqa dha	she is a maid
wanta	thing	noun		a reference to an unnamed object	wanticha; wantoota	the thing; the things
warabboo	deer	noun			lencaan foon warabboo jaalataa	a lion likes deer meat
waraqaa	paper	noun			waraqaa har'a	today's paper
wareegama	sacrifice	noun			wareegama kenni	offer a sacrifice
warqee	gold	noun			urgaa fi warqee	fragrance and gold
warqee	gold	science			warqeen (Au) protoonii 79 qaba	gold (Au) has 79 protons
warra	parents	noun			warra isaa	his parents
wasiila	uncle	noun			wasiila Koofii	uncle Kofi
Waxabajjii	June	noun			Waxabajjiin bultii 30 qaba	June has 30 days
waxii	stew	noun			waxii hojjadhuu	make stew
waynii	wine	noun			nuti waynii mi'aa dhuugaa jiraa	we are drinking sweet wine
wayyaa	attire	noun			wayyaa kee bareedaa dha	your attire is beautiful
wayyaa	cloth	noun			wayyaa uffadhuu	wear cloth
weellisuu	sing	verb			mi'aa sirba wellisuuf	to sing a sweet song
wiirtuu	centre	noun			ta'uu wiirtuu	be in the centre
Wiixata	Monday	noun			ijoollee Wiixata	Monday children
Woloof	Wolof	noun			Afaan Woloof	Wolof language
xabachuu	play	verb			nuhi xabachuu	we are playing
xarabbeezzaa	table	noun			barcuma fi xarabbeezzaa	chair and table
xarmuushii	bottle	noun			xarmuushii shan	five bottles
xinnaa	small	adjective			wanta xinnaa	a small thing
xinneesa	humility	noun			xinneesa ke argisiiste	you show humility
xinnoo	stream	noun		small body of flowing water	ce'uu xinnoo	cross the stream
xiqqeessuu	reduce	verb			xiqqeessuu inni shan	reduce it by five
xiqqoo	little	noun			duwwaa iraa xiqqoo wayyaa	a little is better than nothing
xisitii	basin	noun			sagal xisitii	nine basins
xiyyaara	aeroplane	noun			xiyyaara lama	two aeroplanes
yaabbachuu	climb	verb			kara yaabbachuu tulluu	to climb mountains
yaabbannoo	ladder	noun			yaabbannoo dheeraa	long ladder
yaada	think	verb			ani isa yaada...	I think that ...
yaadachuu	remember	verb			ati nayaadachiste?	you remember me?
yaadannoo	memorization	noun			yaadannoo xiiqqoo gaarii dha	some memorization is good
yaaddoo	thought	noun			yaaddoo kee	your thoughts
yakkamaa	suffering	noun			sodaa fi yakkamaa	fear with suffering
yaroo	duration	noun			yaroon sa'aa-Afurtama	forty-hour duration
yeeyyii	wolf	noun			lama yeeyyii	two wolves
yeroo	time	noun			yeroon dhumee raa	the time is up
yeroo gabaabduu	moment	noun			yeroo gabaabduun dhumee	the moment is up
yoo ... ergasii	if ... then	conjunction			yoo A ergasii B	if A then B
yookiin	or	conjunction			Kooffii yookiin Amaa	Kofi or Ama
yoom	when	conjunction		at the time	inni dhufa yoom ati deemuu	he came when you went
Yoruuba	Yoruba	noun			afaan Yoruuba	Yoruba language
yunivarsiitii	university	noun			yunivarsiitii Leegoon	Legon University
yuuyyee	poor	adjective			yuuyyee biyya	a poor country
zeeyitii kuduraa	vegetable oil	noun			qurxuumii waduuf zeeyitii kuduraa fayyadamii	use vegetable oil to fry fish
