_	a	determiner			lehilahy sy vehivavy	a man and a woman
rivotra	wind	noun			mitsoka ny rivotra	the wind is blowing
roa	two	adjective			misy tavoahangy roa eo amin'ny rindrina	There are two bottles on the wall
roa ambin'ny folo	twelve	adjective		the number 12	tavoahangy roa ambin'ny folo	twelve bottles
roapolo	twenty	adjective		The number 20	tavoahangy roapolo	twenty bottles
rojo	chain	noun			notapahiny ny rojoko	she has broken my chains
rojo	necklace	noun			rojo ivoara	ivory necklace
rony	stew	noun			manao rony	make stew
safidy	option	noun		a thing you can choose	safidy dimy	five options
sahona	frog	noun			tia rano ny sahona	a frog likes water
saina	spirit	noun			manana saina matanjaka izy	he has a strong spirit
saka	cat	noun			manana rambo ny saka	a cat has a tail
sakafo	food	noun			misakafo	eat food
sakafo maraina	breakfast	noun			hihinana sakafo maraina isika	he will eat breakfast
sakafo maraina	breakfast	noun			hisakafo maraina isy	he will eat breakfast
sakany	width	noun			haavo sy ny sakany	height and width
sakelidrano	stream	noun		small body of flowing water	mamakivaky sakelidrano	cross the stream
sambo	ship	noun			sambo lehibe	a big ship
sambo	boat	noun			sambo mena	red boat
sandry	arm	noun			ampiakaro ambony ny sandrinao	lift up your arm
saoka	chin	noun			tazony ny saokanao	hold your chin
saribakoly	doll	noun			saribakoly ko	my doll
sarimihetsika	film	noun			maka sarimihetsika	cast of a film
sarimihetsika	cinema	noun			hijery sarimihetsika aho	I am going to a cinema
sarintany	map	noun			vakio ny sarintany	read the map
sarotra	difficult	adjective			sarotra ny fanadinana	the exam is difficult
sarotro	coat	noun			mitafy sarotro izy	she is putting on a coat
sary	picture	noun			sary tsara tarehy	beautiful picture
sary famantarana	logo	noun			sary famantarana ny fiangonana	church logo
satria	because	conjunction			satria tiako ianao	because I like you
satroka	hat	noun			manao satroka izy	he is wearing a hat
savily	swing	noun			milalao savily	play on a swing
savony	soap	noun			 fitoerandrano sy savony	pail and soap
savony	soap	noun			fitoerandrano sy savony	pail and soap
segondra	second	noun			folo segondra	ten seconds
sekoly	school	noun		a place where learning happens	mianatra mamaky teny any an-tsekoly aho	I learn to read at school
Septambra	September	noun			30 andro ny volana Septambra	September has 30 days
seranam-piaramanidina	airport	noun			Ho eny amin'ny seranam-piaramanidina aho	I'm going to the airport
servieta	towel	noun			servieta mando	wet towel
setroka	smoke	noun			setroka matevina	belch smoke
seza	chair	noun			mandamina seza	arrange the chairs
seza lava fandraisam-bahiny	sofa	noun			seza lava fandraisam-bahiny dimy	five sofas
Shona	Shona	noun			mahay miteny Shona aho	I speak Shona
siansa	science	noun		the systematic study of the world using observation and experiment	mianatra siansa isika	we are learning science
sifotra	snail	noun			nihinana sifotra aho	I eat snails
sigara	cigarette	noun			mifoha sigara	smoke a cigarette
Silamo	Islam	noun			Kristianina sy Silamo	Christianity and Islam
silamo	muslim	noun			Kristiana sy Silamo	a Christian and a Muslim
silikôna	silicon	science			misy protona 14 ny silikôna (Si)	silicon (Si) has 14 protons
simenitra	cement	noun			vato sy simenitra	stones and cement
simia	chemistry	noun			mianatra silia amin'ny malagasy izahay	we learned chemistry
siny	jar	noun			siny fito	seven jars
sitrapo	will	noun			sitrapon' Andriamanitra	God's will
sivy	nine	adjective		The number 9	tavoahangy sivy	Nine bottles
sivy ambin'ny folo	nineteen	adjective		the number 19	tavoahangy sivy ambin'ny folo	nineteen bottles
sivy folo	ninety	adjective		the number 90	tavoahangy sivy folo	ninety bottles
sivylafy	nonagon	noun			manana zoro sivy ny sivy lafy	a nonagon has nine angles
sivylafy	nonagon	noun			misy zoro sivy amin'ny sivylafy	a nonagon has nine angles
soavaly	horse	noun			soavaly fotsy	white horse
sodina	flute	noun			tsofy ny sodina	play the flute
sôdiôma	sodium	science			misy protona 11 ao amin'ny sôdiôma (Na)	sodium (Na) has 11 protons
sofina	ear	noun			sofina sy orona	ear and nose
sokatra	tortoise	noun			mandeha miadana ny sokatra	a tortoise walks slowly
sokolà	chocolate	noun			nihamora ny sokolà	the chocolate has become cheap
solifiora	sulfur	science			misy protona 16 ny solifiora (S)	sulfur (S) has 16 protons
solosaina	computer	noun			fitendrena solosaina	computer keyboard
soroka	shoulder	noun			mijoroa eo an-tsoroko	stand on my shoulders
sotro	spoon	noun			sotro enina ambin'ny folo	sixteen spoons
sotro rovitra	fork	noun			sotro rovitra sy antsy	fork and knife
Swahili	Swahili	noun			Fiteny Swahili	Swahili language
sy	and	conjunction			Kofi sy Ama	Kofi and Ama
tabataba	noise	noun			aza mitabataba	stop making noise
tadiavo	find	verb			tadiavo ny teny	find the word
tadidy	remember	verb			tadidinao ve aho	you remember me?
tafo	roof	noun		the cover over the top of a building	trano miaraka amin'ny tafo mena	the house with the red roof
tafo	roof	noun		the cover over the top of a building	trano mitafo mena	the house with the red roof
tahotra	fear	noun			nameno ny fony ny tahotra	fear has filled her heart
takelaka	website	noun			amorony takelaka aho	make a website for me
talantalana	ledge	noun			matoria eo amin'ny talantalana	sleep on the ledge
Talata	Tuesday	noun			Talata ho an'ny ankizy	Tuesday children
tale	master	noun			ny tale Kofi	Master Kofi
tanan-dehibe	city	noun			tanan-dehibe  midadasika	a large city
tanàn-dehibe	city	noun			Tanàn-dehibe midadasika	a large city
tanana	hand	noun			ampiakaro ambony ny tananao	lift up your hand
tanandehibe	town	noun			mandehana any amin'ny tanàn-dehibe	go into town
tanimanga	clay	noun			vazy tanimanga	clay vase
tanindrazana	country	noun		a community of people living in a place with full self-government	ny tanindrazanao	your country
tantara	history	noun			ianaro ny  tantara	learn history
tantara	story	noun			ilazao tantara aho	tell me a story
tantely	bee	noun			tantely marobe	many bees
tantely	honey	noun			mamy ny tantely	honey is sweet
tantsaha	farmer	noun			tantsaha izy	she is a farmer
tany	earth	noun			mponina eto an-tany	people of the earth
tany	land	noun			tany maina	buy land
tany hay	desert	noun			vitsy rano ny tany hay	water is scarce in the desert
taolana	bone	noun			misy taolana ny tanako	my hand has bones
taona	year	noun			tonga ny taona vaovao	a new year has come
taona	age	noun			taonanao	your age
taona	age	noun			taona anao	your age
tapakila	ticket	noun			jereo ny tapakilako	look at my ticket
taratasim-bola	cheque	noun			manorata taratasim-bola	write a cheque
taratasim-bola	cheque	noun			manoratra taratasim-bola	write a cheque
taratasy fanamarinana	certificate	noun			rehefa mahavita fianarana ianao dia mahazo taratasy fanamarinana	when you complete school you get a certificate
tarehy	face	noun			jereo ny tarehiko	look at my face
tariho	lead	verb			tariho izahay	lead us
tatitra	report	noun			manao tatitra	make a report
tavindrano	bucket	noun			mitete ny tavindrano	the bucket leaks
tavoahangy	bottle	noun			tavoahangy dimy	five bottles
tavy	grease	noun			tavy ao anaty lapoaly	grease in a pan
tazomoka	malaria	noun			aretina ny tazomoka	malaria is a disease
teatra	play	noun			jereo ny teatra	watch a play
teboka	point	noun			iray teboka dimy dia iray sy sasany	1 point 5 (1.5) is one and a half.
telatra	thunder	noun			orambaratra sy tselatra	storm with thunder
telo	three	adjective		The number 3	tavoahangy telo	three bottles
telo ambin'ny folo	thirteen	adjective		the number 13	tavoahangy telo ambin'ny folo	thirteen bottles
telopolo	thirty	adjective		the number 30	tavoahangy telopolo	thirty bottles
telozoro	triangle	noun			manana zoro telo ny telozoro	a triangle has three angles
tenda	throat	noun			halalaho ny tendanao	clear your throat
tenda	neck	noun			mihantona eo amin'ny tendany ny karavato	the tie hangs on his neck
tendro	summit	noun			tendron'ny tendrombohitra	mountain summit
tendrombohitra	mountain	noun			ny avo indrindra @ tendrombohitra	mountain peak
teny	word	noun			mahay teny zato aho	I know 100 words
teny miafina	password	noun			ovay ny teny miafina	change password
teraka	birth	verb			teraka kambana	to birth twins
testamenta	testament	noun			testamenta vaovao	new testament
tete	drop	noun			misotro ranoisaky ny tete ny akoho	drop by drop a chicken drinks water
tetiandro	calendar	noun			tetiandro vaovao	a new calendar
tetikasa	project	noun			tetikasa folo	ten projects
tia	love	verb			tiako ianao	I love you
tigra	tiger	noun			tigra lehibe	a large tiger
toaka	liquor	noun			andraraho toaka kely	pour a little liquor
toekarena	economy	noun			toekarena afrikana	the economy of Africa
toekarena	economy	noun			toekarena  Afrikana	the economy of Africa
toeram-pisakafoanana	restaurant	noun			toeram-pisakafoanana vaovao	a new restaurant
toeram-pivarotana	store	noun			Hividy sakafo ao amin'ny toeram-pivarotana aho	I will buy food from the store
toeram-pivarotana	store	noun			hividy sakafo aoa amin'ny toeram-pivarotana aho	I will buy food from the store
toerana	place	noun			toerana aiza	which place?
toetra	character	noun			ny toetrany	her character
toetrandro	weather	noun			manana toetrandro tsara isika	we have good weather
toffee	toffee	noun			lelafo ny toffee	lick a toffee
Togo	Togo	noun		A country in Africa	mandehana any Togo	go to Togo
tohatra	ladder	noun			tohatra lava	long ladder
tokotany	yard	noun			tokotany malalaka	big yard
tokotany	backyard	noun			rakotra bozaka ny tokotany	the backyard is overgrown
toky	promise	noun			omeo toky aho	give me a promise
tolakandro	afternoon	noun			ny tolakandro aho no ho tonga	I will come in the afternoon
tombotsoa	profit	noun			mahazo tombotsoa	make profit
tonga	come	verb			tonga eto	to come here
tongasoa	welcome	exclamation			tongasoa	welcome welcome!
tongotra	foot	noun			tongotro	my foot
torohevitra	advice	noun			manana torohevitra ny pretra	a priest has advice
trano	lodge	noun			mipetraha vetivety ao an-trano	stay at the lodging for a while
trano	house	noun			ny trano	the house
trano fidiovana	bathroom	noun			mandehana any  amin'ny trano fidiovana	go to the bathroom
trano fidiovana	toilet	noun			mandehana any amin'ny trano fidiovana	go to the toilet
tranokala	web	noun			tranokala	the web of a spider
tranokala	blog	noun			tranokala sakafo	food blog
tranom-bahiny	hotel	noun			matory ao amin'ny tranombahiny izy	she sleeps at a hotel
tranomaizina	prison	noun			mandehana any amin'ny tranomaizina	go to prison
tranomboky	library	noun			ho any amin'ny tranomboky isika	we will go to the library
tratra	chest	noun			volon-tratra	chest hair
trondro	fish	noun			trondro voaendy	fried fish
trosa	debt	noun			manana trosa be izy	he has many debts
tsakoahana	hiccups	noun			mitsakoahana izy	he has got the hiccups
tsaoka	chalk	noun			tsaoka fotsy	white chalk
tsara	well	noun			rano tsara	well water
tsara	well	adverb			ataovy tsara io	do it well
tsara	good	adjective			fanomezana tsara	a good gift
tsara tarehy	beautiful	adjective			tsara tarehy io	it is beautiful
tsaramaso	bean	noun			vary sy tsaramaso	rice and beans
tsatokaty	bowl	noun			tsatokaty mena	a red bowl
tsena	market	noun			mandehana any an-tsena	go to market
tsia	no	exclamation			niteny tsia aho	I say no
tsidry	click	verb			tsingdrio eto	click here
tsihy	mat	noun			velaro ny tsihy	spread out a mat
tsilo	spear	noun			notsindroniny tamin'ny tsilo izy	they pierced him with a spear
tsindrona	injection	noun			maharary ny tsindrona	an injection is painful
tsipika	line	noun			nanapaka ny tsipika ilay baolina	the ball has crossed the line
tsirairay	each	adjective			zavatra tsirairay	each thing
tsisy	nothing	noun			tsisy ananako	I have nothing
tsisy fetra	infinity	noun		the number ∞	raha mizara isa a,in'ny aotra ianao dia tsis fetra no valiny azonao	if you divide any number by zero, you get infinity
tsotra	brave	adjective			lehilahy tsotra	brave man
tsotra, mora	easy	adjective			tsotra, mora ny fanadinana	the exam is easy
tsy ampoizina	surprise	noun			tsy ampoizina tsara	great surprise
tsy ankasa	odd	mathadj			isa tsy ankasa ny iray	1 is an odd number
tsy fahampiana	scarcity	noun			tsy fahampian-drano	scarcity of water
tsy mihetsika	inactive	noun			tsy mihetsika izy	he is inactive
vadikely	concubine	noun			vadikeliko i Yaa	Yaa is my concubine
vady	husband	noun			tiako ny vady ko	I love my husband
vady	wife	noun			ny vady ko sy ny zana ko	my wife and my children
vahiny	foreigner	noun			tonga ireo vahiny	the foreigners have arrived
vahiny nasaina	guest	noun			vahiny nasaina aho	I am a guest
vahoaka	crowd	noun			vahoaka mitabataba	noisy crowd
vakiteny	reading	noun			avereno ny vakiteny	repeat the reading
valahana	waist	noun			valahanao	your waist
valahana	groin	noun			valahan-dehilahy	groin of a man
valisoa	award	noun			omeo valisoa izy	give her an award
valo	eight	adjective		The number 8	tavoahangy valo	Eight bottles
valo ambin'ny folo	eighteen	adjective		the number 18	 tavoahangy valo ambin'ny folo	eighteen bottles
valolafy	octagon	noun			misy zoro valo amin'ny valolafy	an octagon has eight angles
valopolo	eighty	adjective		the number 80	tavoahangy valopolo	80 bottles
vaovao	news	noun			vaovaon'ny fanjakana	news of the realm
vaovao	new	adjective			fianakaviana vaovao	new family
varavarana	door	noun			manakatona varavarana	close the door
varavarankely	window	noun			manokatra aravaran-kely	open the windows
vary	rice	noun			vary sy tsaramaso	rice and beans
vatana	corpse	noun			mihalo ny vatana	the corpse is rotting
vatana	body	noun			vatana, fanahy sy saina ny olona	a person is body, soul and spirit
vato	stone	noun			vato sy simenitra	stones and cement
vatoaratra	battery	noun			vatoaratra vaovao	a new battery
vava	mouth	noun			ny vavako	my mouth
vavaka	prayer	noun			tsara ny vavaka	prayer is good
vavony	stomach	noun			vavony lehibe	big stomach
vavy antitra	old lady	noun			ny vavy antitro	my old lady
vazantany	corners	noun			avy amin'ny vazantany eto amin'izao tontolo izao	all corners of the world
vazivazy	joke	noun			itantarao vazivazy aho	tell me a joke
vazy	vase	noun			vazy tanimanga	clay vase
vazy	version	noun			vazy tanimanga?	which version?
vehivavy	woman	noun			vehivay tsara tarehy	a pretty woman
vehivavy	female	noun		the gender that has the egg in making offspring	kibom-behivavy	female's womb
velarana	area	math		a quantity that represents the size of a surface	velarana (mahitsizoro) = lavany x sakany	area (rectangle) = length x width
veloma	goodbye	exclamation			manaova veloma	say goodbye
velona	being	noun			olombelona	human being
vidy	price	noun			ohatrinona ny vidiny	how much is the price?
vilany	pot	noun			vilany vy	metal pot
vilia	plate	noun			sasao ny lovianao	wash your plate
vilia lalinaty	bowl	noun			vilia lalinaty mena	a red bowl
vita tsara	well done	exclamation			asa vita tsara	job well done!
vitsika	ant	noun			vitsika an'arivony	thousands of ants
voa	kidney	noun			manana voa ny saka	a cat has a kidney
voalavo	mouse	noun			voalavo be	a big mouse
voalavo	rat	noun			voalavo be	a big rat
voamaso	eyeball	noun			maso sy voamaso	eye and eyeball
voanjolava	groundnut	noun			katsaka sy voanjolava	corn and groundnuts
voankazo	fruit	noun			voaso ny voankazo	pluck fruit
voasarimakirana	lime	noun			ranom-boasarimakirana	lime juice
voasary	orange	noun			voasary telo	three oranges
voatabia	tomato	noun			voatabia roa	two tomatoes
voatavo	melon	noun			voatavo maitso	green melon
voay	crocodile	noun			tia rano ny voay	a crocodile likes water
voay	alligator	noun			misy rambo ny voay	an alligator has a tail
voditongotra	heel	noun			ratsan-tongotra sy voditongotra	toe and heel
vokatra	consequence	noun			ny vokany	its consequences
vola	money	noun			manampy ny vola	money helps
vola madinika	change	noun			manana vola madinika ve ianao?	do you have change?
vola vy 	coin	noun			vola vy efatra	four coins
volafotsy	silver	science			misy protona 47 ny volafotsy (Ag)	silver (Ag) has 47 protons
volafotsy	silver	noun			volafotsy sy volamena	silver and gold
volamena	gold	science			misy protona 79 ao amin'ny volamena (Au)	gold (Au) has 79 protons
volamena	gold	noun			ranomanitra sy volamena	fragrance and gold
volana	month	noun			iray volana	one month
volo	hair	noun			volo tratra	chest hair
volom-bava	beard	noun			volom-bava lava	long beard
volomaso	eyebrow	noun			maso sy volomaso	eye and eyebrow
volomboasary	orange	adjective			mitafy ilay akanjo mafana miloko volomboasary	wear the orange cap
volomparasy	violet	adjective			voninkazo volomparasy	violet flowers
volontany	brown	adjective			vorona volontany	brown bird
volontany	khakhi	noun			pataloha fohy volontany	khakhi shorts
vomanga	sweet potato	noun		<i>Ipomoea batatas</i>	tia vomanga aho	I like sweet potato
vomanga	yam	noun			andrahoy ny vomanga	cook the yam
vomanga	sweet potato	noun		<i>Ipomoea batatas</i>	Tiako ny vomanga	I like sweet potato
voninahitra	glory	noun			voninahitra ho an'ny olombelona	glory of humankind
voninkazo	flower	noun			voninkazo tsara tarehy	pretty flower
voromahery	vulture	noun			vorona ny voromahery	a vulture is a bird
voromahery	eagle	noun			voromahery roa	two eagles
voromailala	dove	noun			voromailala fotsy	white dove
vorona	bird	noun			manidina ny vorona	a bird flies
vorondolo	owl	noun			vorona ny vorondolo	an owl is a bird
vy	iron	science			misy protona 26 ao amin'ny vy (Fe)	iron (Fe) has 26 protons
Wolof	Wolof	noun			fiteny Wolof	Wolof language
Yoruba	Yoruba	noun			Fiteny Yoruba	Yoruba language
zanabola	interest	noun			zanabolan'ny trosa	loan interest
zanadrahalahy	nephew	noun			zanadrahalahin'ny raiko	my father's nephew
zanaka	child	noun			ny zanaky ny reniko dia mpiraitampo amiko	my mother's child is my sibling
zanaka lahy	son	noun		male child	ny zana ko lahy	my son
zanaka vavy	daughter	noun		female child	ny zana ko vavy	my daughter
zanakavavin'ny mpiraitampo	niece	noun			zanakavavin'ny mpiraitampo amiko	my nieces
zato	hundred	adjective		the number 100	tavoahangy zato	hundred bottles
zavamaniry	plant	noun			zavamaniry mena	red plant
zavatra	something	pronoun			ampisehoy zavatra aho	show me something
zavatra	thing	noun		a reference to an unnamed object	ny zavatra; ireo zavatra	the thing; the things
zavatra	something	noun			mitazona zavatra mafy	to hold something firmly
zavona	mist	noun			zavona maraina	morning mist
zaza	toddler	noun			ho aiza ianao ry zaza	toddler, where are you going?
zazakely	baby	noun			manana zazakely aho	I have a baby
zazalahy	boy	noun			eto ilay zazalahy	the boy is here
zazavavy	girl	noun			zazavavy ranjanana	tall girl
zebra	zebra	noun			zebra fito	seven zebras
zipo	skirt	noun			zipo fohy	short skirt
zirafy	giraffe	noun			biby ny zirafy	a giraffe is an animal
zo	rights	noun			zo mahaolona	rights of humankind
Zoma	Friday	noun			Zoma ho an'ny ankizy	Friday children
zoro	angle	noun		the length of turn between two straight lines that meet	zoro roa	two angles
