_	a	determiner			lehilahy sy vehivavy	a man and a woman
GaDangme	GaDangme	noun		Ga. A West African people; their language	miteny GaDangme aho	I speak GaDangme
gana	duck	noun			gana fotsy	white duck
ganagana	duck	noun			ganagana fotsy	white duck
garazy	garage	noun			garazin'ny fiara	car garage
gazety	paper	noun			gazety androany	today's paper
Gbe	Gbe	noun			fiteny Gbe	Gbe language
Ghana	Ghana	noun		a country in Africa	Ganeana no fiantso ny mponina avy any Ghana	people from Ghana are called Ghanaians
governemanta	government	noun			governemantan'i Nkrumah	Nkrumah's government
grama	gramme	noun			folo grama	ten grammes
haavo	height	noun			haao sy ny sakany	height and width
habe	shape	noun			ny haben'ny trano	the shape of the house
habetsahana	quantity	noun			habetsahan'ny sakafo	quantity of the food
hadalana	folly	noun			hadalana fotsiny izany	it is just folly
hadiry	volume	math		a quantity that represents the size of a container	hadiry (goba) = halavany x sakany x hahavony	volume(cube) = length x width x height
hadiry	volume	noun			akaro ny hadiry	turn up the volume
hafatra	message	noun			rehefa tonga ny hafatra	when the message arrived
hafetsena	trick	noun			ajanony ny hafetsena	stop the tricks
haihay	biology	noun		the study of living things	mianatra haihay izahay	we are learning biology
haingana	quickly	adverb			mandeha haingana ianao	you walk quickly
hala	spider	noun			tranon-kala	spider's web
halatra	burglary	noun			nitombo ny halatra	burglary is increasing
halava	length	noun			haavo, sakany sy halava	height, width and length
handrina	forehead	noun			jereo ny handriny	look at her forehead
hanitra	fragrance	noun			hanitry ny	the fragrance of sheabutter
hanoanana	hunger	noun			hanoanana sy hetaheta	hunger and thirst
harena	prosperity	noun			fandriampahalemana sy harena	peace and prosperity
hareza	razor	noun			ranito ny hareza	sharpen the razor
hariva	evening	noun			sakafo hariva	evening meal; dinner
hariva	nightfall	noun			maraina sy hariva	daybreak and nightfall
hariva	sunset	noun			manomboka maraina hatramin'ny hariva	from sunrise to sunset
harona	bag	noun			jereo ny harona	look at the bag
harona	basket	noun			mitondrà harona	carry a basket
hatezerana	anger	noun			tonio ny fahatezeranao	calm your anger
hatotanany	wrist	noun			tazony ny hatotanany	hold her wrist
hatramin'ny	to	preposition			manomboka eto ka hatrany	from here to there
hatsarana	beauty	noun			hatsarana sy fitiavana	beauty and love
Hausa	Hausa	noun			Fiteny Hausa	Hausa language
havam-bady	inlaw	noun			ny havam-badintsika	our inlaws
havana	relative	noun			havana izy	he is a relative
havoana	hill	noun			tampon'ny havoana	hill top
havoana	valley	noun			havoana sy lohasaha	hills and valleys
hazo	tree	noun			mamboly hazo	plant a tree
hazofisaka	plank	noun			hazofisaka sy fantsika	plank and nail
helika	armpit	noun			helika maimbo	smelly armpit
