igihugu	country	noun		a community of people living in a place with full self-government	igihugu cyanyu	your country
igihugu	nation	noun			igihugu cyanyu	your nation
igihumbi	thousand	adjective		the number 1000	amacupa igihumbi	thousand bottles
igihumyo	mushroom	noun			isosi ya igihumyo	mushroom soup
igihunyira	owl	noun			igihunyira ni inyoni	an owl is a bird
igikapu	bag	noun			reba igikapu	look at the bag
igikari	backyard	noun			igikari cyamerereye	the backyard is overgrown
igikeri	frog	noun			igikeri gikunda amazi	a frog likes water
igikoba	cowhide	noun			umuceli na igikoba	waache and cowhide
igikombe	cup	noun			igikombe cy'icyayi	tea cup
igikoni	kitchen	noun			ndi mu gikoni	I am in the kitchen
igikonoshwa	shell	noun			igikonoshwa cya ingaru	shell of a crab
igikoro	yam	noun			teka igikoro	cook the yam
igikubi	blow	noun			muhe igikubi	give him a blow
igisebe	sore	noun			imbwa irarigata igisebe cyayo	the dog is licking its sore
igisha	teach	verb			kuigisha imibare	to teach mathematics
Igishona	Shona	noun			mvuga Igishona	I speak Shona
igishyimbo	bean	noun			umuceli na ibishyimbo	rice and beans
igishyute	boil	noun			igishyute kiraryana	a boil is painful
igisokozo	comb	noun			koresha igisokozo usokoza umusatsi wawe	use a comb to comb your hair
Igiswahili	Swahili	noun			ururimi rw'Igiswahili	Swahili language
igitabo	book	noun			iki igitabo	this book
igitagangurirwa	spider	noun			umutego w'igitagangurirwa	spider's web
igitaka	brown	adjective			inyoni y'ibara ry'igitaka	brown bird
igitambo	sacrifice	noun			gutura igitambo	offer a sacrifice
igitebo	basket	noun			twara igitebo	carry a basket
igitekezo	argument	noun			ibitekerezo byinshi	many arguments
igitembo	pipe	noun			amazi yo mu gitembo	pipe water
igiti	tree	noun			tera igiti	plant a tree
igitonyanga bya amarira	teardrop	noun			ibitonyanga by'amarira	a few teardrops
igitsi	heel	noun			ino na igitsi	toe and heel
igituba	vagina	noun			ntukavuge 'igituba' mu ruhame	you don't say 'vagina' in public
igitutsi	insult	noun			ibitutsi byinshi	many insults
igituza	chest	noun			ubwoya bwo mu gituza	chest hair
igufwa	bone	noun			ibiganza byanjye bifite amagufwa	my hand has bones
ihame	rule	noun			akurikiza amahame	she follows the rules
ihangana	rivalry	noun			mureke ihangana	stop the rivalry
ihembe	warhorn	noun			kuvuza ihembe	blow the warhorn
ihembe rya inzovu	ivory	noun			urunigi rwa iryinyo rya inzovu	ivory necklace
ihene	goat	noun			ihene na intama	a goat and a sheep
iherezo	end	noun			iherezo ryaje	the end has come
ihuriro	association	noun			uze mu nama y'ihuriro ry'abagabo	come to the men's association meeting
ihurizo	puzzle	noun			ihurizo na amayobera	puzzles and riddles
ijambo	word	noun			nzi amagambo 100	I know 100 words
ijambobanga	password	noun			hindura ijambobanga	change password
ijana	hundred	adjective		the number 100	amacupa ijana	hundred bottles
ijisho	eye	noun			ijisho n'urugohe	eye and eyebrow
ijoro	night	noun			8h zuzuye mu ijoro	8 o'clock in the night
ijosi	neck	noun			karuvati iranagana ku ijosi rye	the tie hangs on his neck
ijwi	sound	noun			ijwi risakuza	loud sound
ijwi	voice	noun			oroshya ijwi	soften your voice
ikamyo	lorry	noun			aho ikamyo ihagarara	lorry stop
ikandamizwa	oppression	noun			mbega ikandamizwa!	such oppression!
ikanzu	dress	noun			ikanzu y'ubururu	blue dress
ikaramu	pen	noun			Wino mu ikaramu	ink in a pen
ikaramu y'igiti	pencil	noun			ikaramu y'igiti n'ikaramu	pencil and pen
ikarita	map	noun			soma ikarita	read the map
iki	what	pronoun			iki ekyo?	what is that?
ikibabi	leaf	noun			ikibabi cy'icyatsi	green leaf
ikibase	sink	noun			gukura amazi mu kibase	drain the sink
ikibazo	issue	noun			ikibazo gishya	new issue
ikibazonama	question	noun			mfite ikibazo	I have a question
